age_souscription,duree,capital_emprunte,taux_interet_annuel,taux_technique_annuel,target
56,5,480000,0.036,0.017,131.80283858674906
46,25,280000,0.043,0.012,80.11210292555921
32,25,55000,0.028,0.019,4.846280768829295
60,15,445000,0.031,0.007,238.26130695869634
25,25,510000,0.028,0.007,26.31142130587179
38,5,505000,0.036,0.005,31.919567563849043
56,15,220000,0.016,0.008,81.48417263394654
36,10,420000,0.037,0.015,27.590899000760913
40,25,545000,0.034,0.016,95.04204819987079
28,20,325000,0.029,0.011,16.728599762345937
28,5,285000,0.007,0.009,9.122459944510329
41,5,525000,0.036,0.016,45.54984991731144
53,25,465000,0.01,0.008,195.5518872416453
57,10,170000,0.043,0.017,60.11658091786519
41,20,320000,0.008,0.017,45.472560398987234
20,10,240000,0.034,0.012,7.410575188991893
39,10,150000,0.019,0.008,12.71363873561246
19,25,215000,0.034,0.014,8.452591308354648
41,20,220000,0.026,0.018,33.4768061211656
47,25,400000,0.03,0.013,116.64887788031999
55,25,510000,0.008,0.012,250.3712933692788
19,5,340000,0.044,0.02,9.9153799990647
38,25,380000,0.005,0.013,48.98082432298502
50,15,300000,0.043,0.006,76.616004642483
29,20,490000,0.028,0.013,27.099181112178027
39,5,465000,0.015,0.012,32.05409117055806
42,20,375000,0.031,0.009,62.334752294600875
44,5,105000,0.032,0.01,12.152567583301476
59,15,110000,0.034,0.019,55.1461433342928
45,25,185000,0.006,0.007,41.20794088821946
33,5,250000,0.044,0.016,10.513519379387668
32,5,60000,0.03,0.019,2.331386224294421
20,5,395000,0.02,0.009,11.586603226857186
54,15,210000,0.028,0.006,68.8529136082242
24,20,485000,0.012,0.01,18.439712901151083
38,15,130000,0.015,0.011,12.154368871318853
26,5,110000,0.008,0.019,3.3911270096724935
56,5,420000,0.04,0.011,115.26629133260806
35,25,450000,0.015,0.006,47.57139427954739
21,15,530000,0.035,0.007,17.50412750417264
42,15,95000,0.016,0.01,12.658878910405587
31,10,520000,0.011,0.008,21.309448309848435
26,20,280000,0.009,0.006,11.638512739314368
43,10,330000,0.039,0.008,42.12538345417421
19,10,175000,0.01,0.007,5.057221141549988
37,20,455000,0.008,0.008,45.71011312565243
45,25,405000,0.005,0.02,90.94228781456687
24,25,245000,0.02,0.012,11.47949590626521
25,20,100000,0.043,0.015,4.483828494365854
52,20,395000,0.041,0.007,141.94732202555366
31,15,365000,0.01,0.018,18.073538003070166
34,15,220000,0.005,0.009,13.778850461010006
53,15,100000,0.035,0.02,31.508717867695886
57,15,310000,0.017,0.018,125.98622062236645
21,5,260000,0.038,0.019,7.867025352625181
19,5,160000,0.014,0.015,4.538793867946482
23,25,220000,0.025,0.015,9.995272767347785
59,5,150000,0.006,0.018,49.634871922202045
21,5,160000,0.041,0.016,4.841929928880351
46,15,340000,0.012,0.014,61.208470374369284
35,15,395000,0.017,0.01,28.12066730312368
43,20,480000,0.024,0.008,83.90136771364989
51,15,515000,0.016,0.017,133.32261270140094
27,20,230000,0.007,0.011,10.169837760057304
53,20,155000,0.006,0.006,52.764487842748416
31,5,285000,0.043,0.012,10.49985832723117
48,15,95000,0.018,0.015,20.01474474047998
32,5,295000,0.018,0.005,11.245217159266783
25,15,255000,0.042,0.016,9.648587092798575
31,5,75000,0.038,0.008,2.744616365615527
40,5,325000,0.032,0.008,25.169809686899647
57,5,400000,0.031,0.013,116.71147113290412
38,25,130000,0.037,0.01,19.55337555236552
33,5,445000,0.012,0.012,18.172096620451384
35,10,50000,0.032,0.013,2.9609840682297235
41,10,525000,0.009,0.019,53.65747862801321
43,10,90000,0.01,0.008,10.911197386454832
42,20,510000,0.015,0.012,80.15450281707012
58,5,215000,0.033,0.017,67.57117905705623
46,10,480000,0.041,0.008,77.9049284337089
32,20,125000,0.033,0.006,8.961196722617485
18,10,350000,0.022,0.005,9.875302171156978
42,15,380000,0.026,0.007,51.873684989040484
24,25,90000,0.033,0.009,4.4631606178147045
26,5,350000,0.03,0.011,10.921168667461309
